Season,TeamIdA,TeamIdB,SeedA,SeedB,ScoreA,ScoreB,Round,Seed_diff,Score_diff,WinA,A.team,A.conference,A.record,B.team,B.conference,B.record,Rank_diff,W_diff,L_diff,W_perc_diff,adj_em_diff,adj_o_diff,adj_o_rank_diff,adj_d_diff,adj_d_rank_diff,adj_tempo_diff,adj_tempo_rank_diff,luck_diff,luck_rank_diff,sos_adj_em_diff,sos_adj_em_rank_diff,sos_adj_o_diff,sos_adj_o_rank_diff,sos_adj_d_diff,sos_adj_d_rank_diff,nc_sos_adj_em_diff,nc_sos_adj_em_rank_diff
2005,1412,1261,X11,X06,82,68,1,5,14,1,UAB,CUSA,22-11,LSU,SEC,20-10,9,2,1,0,-1.290000000000001,-4.700000000000003,41,-3.3999999999999915,-51,4.299999999999997,-107,-0.07100000000000001,130,-2.74,46,-1.5,53,1.2000000000000028,43,0.6900000000000001,-24
2005,1428,1431,Y06,Y11,60,54,1,-5,6,1,Utah,MWC,29-6,UTEP,WAC,27-8,-38,2,-2,0.05714285714285716,8.709999999999999,0.3999999999999915,-4,-8.399999999999991,-111,-6.800000000000004,153,0.017,-30,4.28,-68,3.700000000000003,-112,-0.6000000000000085,-17,1.2599999999999998,-31
2005,1448,1151,W02,W15,70,54,1,-13,16,1,Wake Forest,ACC,27-6,Chattanooga,SC,20-11,-157,7,-5,0.1730205278592376,24.83,25.39999999999999,-228,0.7000000000000028,7,1.3000000000000114,-53,-0.012999999999999998,18,14.719999999999999,-234,7.300000000000011,-210,-7.400000000000006,-241,-0.8200000000000003,8
2005,1449,1285,W01,W16,88,77,1,-15,11,1,Washington,P10,29-6,Montana,BSky,18-13,-180,11,-7,0.247926267281106,24.91,20.69999999999999,-214,-4.199999999999989,-80,3.700000000000003,-72,0.010999999999999996,-13,12.959999999999999,-225,7.099999999999994,-211,-5.8999999999999915,-217,2.170000000000001,-28
2005,1452,1166,W07,W10,63,61,1,-3,2,1,West Virginia,BE,24-11,Creighton,MVC,23-11,-4,1,0,0.009243697478991564,0.6699999999999999,-0.20000000000000284,3,-0.9000000000000057,-16,0.5,-20,0.115,-229,4.7,-71,3.6999999999999886,-103,-0.9000000000000057,-33,-5.640000000000001,95
2005,1454,1104,X12,X05,83,73,1,7,10,1,Milwaukee,Horz,26-6,Alabama,SEC,24-8,18,2,-2,0.0625,-5.820000000000002,-8.700000000000003,43,-2.8999999999999915,-40,6,-233,0.046,-70,-4.529999999999999,75,-1.9000000000000057,62,2.700000000000003,89,8.91,-177
2005,1137,1242,Z14,Z03,64,63,1,11,1,1,Bucknell,Pat,23-10,Kansas,B12,23-7,84,0,3,-0.0696969696969697,-16.389999999999997,-13.399999999999991,161,3.0999999999999943,23,-3.3999999999999986,134,0.055,-105,-12.79,190,-6.699999999999989,192,6,192,-8.09,84
2005,1163,1416,Z02,Z15,77,71,1,-13,6,1,Connecticut,BE,23-8,UCF,ASun,24-9,-177,-1,-1,0.014662756598240456,24.5,7.099999999999994,-88,-17.39999999999999,-244,10.499999999999993,-289,-0.098,212,17.13,-279,9.5,-268,-7.700000000000003,-273,3.58,-85
2005,1181,1175,Y01,Y16,57,46,1,-15,11,1,Duke,ACC,27-6,Delaware St.,MEAC,19-14,-206,8,-8,0.24242424242424243,32.36,13.400000000000006,-162,-18.900000000000006,-243,9,-241,-0.079,142,18.36,-278,12.400000000000006,-309,-6,-211,-8.38,102
2005,1196,1325,Z04,Z13,67,62,1,-9,5,1,Florida,SEC,24-8,Ohio,MAC,21-11,-75,3,-3,0.09375,15.64,6.6000000000000085,-47,-9,-122,-0.5,20,-0.069,169,4.41,-72,1.6999999999999886,-56,-2.700000000000003,-89,-0.05999999999999961,1
2005,1210,1203,W05,W12,80,68,1,-7,12,1,Georgia Tech,ACC,20-12,George Washington,A10,22-8,-16,-2,4,-0.10833333333333328,4.82,-0.7000000000000028,10,-5.5,-32,-2.200000000000003,43,-0.025,62,10.42,-143,5.300000000000011,-143,-5.099999999999994,-152,-5.71,144
2005,1235,1278,Z09,Z08,64,53,1,1,11,1,Iowa St.,B12,19-12,Minnesota,B10,21-11,7,-2,1,-0.043346774193548376,-1.040000000000001,-0.9000000000000057,16,0.19999999999998863,2,-0.5,16,-0.013000000000000001,31,1.04,-22,1.5,-47,0.5,13,0.9300000000000002,-20
2005,1257,1418,W04,W13,68,62,1,-9,6,1,Louisville,CUSA,33-5,Louisiana Lafayette,SB,20-11,-70,13,-6,0.22325976230899836,15.870000000000001,11.700000000000003,-86,-4.200000000000003,-42,-1.2999999999999972,47,0.008,-16,3.75,-57,1.2999999999999972,-47,-2.5,-79,-11.149999999999999,201
2005,1277,1330,Y05,Y12,89,81,1,-7,8,1,Michigan St.,B10,26-7,Old Dominion,CAA,28-6,-68,-2,1,-0.035650623885918,15.630000000000003,15,-126,-0.5999999999999943,-3,0,-1,-0.062,137,11.09,-184,6,-184,-5.1000000000000085,-190,0.7999999999999998,-17
2005,1280,1390,Y09,Y08,93,70,1,1,23,1,Mississippi St.,SEC,23-11,Stanford,P10,18-13,-35,5,-2,0.09582542694497154,4.619999999999999,2.700000000000003,-38,-1.9000000000000057,-18,1,-33,-0.011000000000000003,17,-1.9800000000000004,28,-0.5999999999999943,17,1.3000000000000114,43,-5.9799999999999995,147
2005,1301,1150,Z10,Z07,75,63,1,3,12,1,N.C. State,ACC,21-14,Charlotte,CUSA,21-8,-31,0,6,-0.12413793103448278,6.779999999999999,3.4000000000000057,-25,-3.4000000000000057,-43,-7.499999999999993,253,-0.10400000000000001,223,6.370000000000001,-89,3.3999999999999915,-100,-2.9000000000000057,-79,-2.08,43
2005,1314,1324,Z01,Z16b,96,68,1,-15,28,1,North Carolina,ACC,33-4,Oakland,MCon,13-19,-177,20,-15,0.4856418918918919,33.970000000000006,14.400000000000006,-73,-19.599999999999994,-277,7.8999999999999915,-201,0.033,-87,9.65,-122,3.5,-92,-6.1000000000000085,-169,-10.11,61
2005,1329,1368,X02,X15,63,50,1,-13,13,1,Oklahoma St.,B12,26-7,Southeastern Louisiana,Slnd,24-9,-128,2,-2,0.06060606060606055,21.82,24.10000000000001,-251,2.299999999999997,25,6.200000000000003,-158,-0.022,54,14.34,-243,7.700000000000003,-222,-6.699999999999989,-236,6.8100000000000005,-163
2005,1356,1388,X07,X10,65,56,1,-3,9,1,Southern Illinois,MVC,27-8,Saint Mary's,WCC,25-9,-49,2,-1,0.03613445378151259,7.34,2.299999999999997,-31,-5,-49,-1.500000000000007,51,-0.065,102,3.0599999999999996,-47,1.5,-47,-1.6000000000000085,-44,4.76,-109
2005,1436,1393,Y13,Y04,60,57,1,9,3,1,Vermont,AE,25-7,Syracuse,BE,27-7,27,-2,0,-0.012867647058823484,-7.450000000000001,-4.299999999999997,32,3.0999999999999943,39,-1.0999999999999943,50,0.03,-59,-8,126,-6.099999999999994,184,1.9000000000000057,66,9.68,-227
2005,1437,1307,Z05,Z12,55,47,1,-7,8,1,Villanova,BE,24-8,New Mexico,MWC,26-7,-24,-2,1,-0.037878787878787845,9.48,1.9000000000000057,-11,-7.599999999999994,-57,1.5999999999999943,-70,-0.052,120,9.620000000000001,-146,4.5,-133,-5.200000000000003,-186,9.799999999999999,-140
2005,1458,1320,Z06,Z11,57,52,1,-5,5,1,Wisconsin,B10,25-9,Northern Iowa,MVC,21-11,-28,4,-2,0.07904411764705888,7.449999999999999,-0.20000000000000284,2,-7.700000000000003,-74,-1.7000000000000028,58,0.07700000000000001,-183,4.8,-63,2.700000000000003,-72,-2,-50,0.17999999999999994,-10
2005,1112,1412,X03,X11,85,63,2,-8,22,1,Arizona,P10,30-7,UAB,CUSA,22-11,-38,8,-4,0.14414414414414423,9.709999999999999,7.5,-57,-2.200000000000003,-25,-2.4000000000000057,51,0.028,-57,3.369999999999999,-52,2.299999999999997,-68,-1,-36,2,-41
2005,1228,1305,X01,X09,71,59,2,-8,12,1,Illinois,B10,37-2,Nevada,WAC,25-7,-53,12,-5,0.16746794871794868,20.57,18.299999999999997,-141,-2.200000000000003,-9,-1.6000000000000085,60,-0.052,111,7.0600000000000005,-113,2.799999999999997,-92,-4.300000000000011,-155,-0.03999999999999998,2
2005,1246,1153,Y02,Y07,69,60,2,-5,9,1,Kentucky,SEC,28-6,Cincinnati,CUSA,25-8,-10,3,-2,0.06595365418894827,3.6700000000000017,0.5,-4,-3.0999999999999943,-11,-1.4000000000000057,53,0.038,-83,3.369999999999999,-50,1.8000000000000114,-51,-1.5,-51,-3.33,90
2005,1403,1211,W06,W03,71,69,2,3,2,1,Texas Tech,B12,22-11,Gonzaga,WCC,26-5,6,-4,6,-0.17204301075268824,-2.4099999999999984,-9,43,-6.6000000000000085,-99,1.9000000000000057,-69,0.024999999999999998,-50,5.47,-83,4.799999999999997,-130,-0.5999999999999943,-20,-6.12,152
2005,1428,1328,Y06,Y03,67,58,2,3,9,1,Utah,MWC,29-6,Oklahoma,B12,25-8,8,4,-2,0.07099567099567106,-2.2200000000000024,-1.3000000000000114,7,0.9000000000000057,7,-6.300000000000004,124,0.038,-80,-4.08,67,-1.5999999999999943,51,2.5,85,-4.13,98
2005,1449,1334,W01,W08,97,79,2,-7,18,1,Washington,P10,29-6,Pacific,BW,27-4,-26,2,2,-0.04239631336405525,8.1,6.099999999999994,-15,-2.0999999999999943,-35,8.300000000000004,-249,-0.031,30,7.949999999999999,-123,4.400000000000006,-134,-3.5,-117,4.99,-82
2005,1452,1448,W07,W02,111,105,2,5,6,1,West Virginia,BE,24-11,Wake Forest,ACC,27-6,27,-3,5,-0.1324675324675325,-9.86,-10.200000000000003,24,-0.4000000000000057,-1,-5.300000000000004,209,0.036000000000000004,-46,-1.799999999999999,14,0.19999999999998863,-4,2,31,-12.2,253
2005,1454,1130,X12,X04,83,75,2,8,8,1,Milwaukee,Horz,26-6,Boston College,BE,25-5,11,1,1,-0.02083333333333337,-3.610000000000001,-4.200000000000003,29,-0.5999999999999943,-8,4,-167,0.0010000000000000009,-2,-4.289999999999999,69,-1.2000000000000028,38,3.0999999999999943,101,11.84,-241
2005,1181,1280,Y01,Y09,63,55,2,-8,8,1,Duke,ACC,27-6,Mississippi St.,SEC,23-11,-31,4,-5,0.14171122994652408,12.16,6.400000000000006,-52,-5.700000000000003,-25,0.20000000000000284,-7,-0.04,89,4.4,-49,2.5999999999999943,-40,-1.8000000000000114,-49,3.35,-98
2005,1257,1210,W04,W05,76,54,2,-1,22,1,Louisville,CUSA,33-5,Georgia Tech,ACC,20-12,-18,13,-7,0.24342105263157898,6.550000000000001,9.599999999999994,-58,3,12,-2.299999999999997,86,0.08299999999999999,-192,-4.49,52,-2.8000000000000114,64,1.7000000000000028,35,2.8400000000000003,-62
2005,1277,1436,Y05,Y13,72,61,2,-8,11,1,Michigan St.,B10,26-7,Vermont,AE,25-7,-38,1,0,0.006628787878787845,12.140000000000002,8.400000000000006,-40,-3.799999999999997,-44,1.7000000000000028,-80,-0.045,98,9.6,-153,6.299999999999997,-190,-3.3000000000000114,-110,-8.290000000000001,192
2005,1301,1163,Z10,Z02,65,62,2,8,3,1,N.C. State,ACC,21-14,Connecticut,BE,23-8,8,-2,6,-0.14193548387096777,-3.0100000000000016,2.9000000000000057,-21,5.8999999999999915,37,-7.499999999999993,254,-0.031,49,1.5300000000000011,-14,-0.20000000000000284,2,-1.7000000000000028,-39,-2.78,62
2005,1314,1235,Z01,Z09,92,65,2,-8,27,1,North Carolina,ACC,33-4,Iowa St.,B12,19-12,-47,14,-8,0.27898866608544026,19.750000000000004,19.400000000000006,-157,-0.3999999999999915,-4,6.299999999999997,-123,0.008,-17,4.420000000000001,-37,1.2000000000000028,-21,-3.200000000000003,-59,7.32,-174
2005,1329,1356,X02,X07,85,77,2,-5,8,1,Oklahoma St.,B12,26-7,Southern Illinois,MVC,27-8,-23,-1,-1,0.01645021645021638,8.27,12.100000000000009,-65,3.799999999999997,35,2.8000000000000043,-111,-0.03,82,3.49,-48,1.2999999999999972,-32,-2.1999999999999886,-62,0.8600000000000003,-17
2005,1437,1196,Z05,Z04,76,65,2,1,11,1,Villanova,BE,24-8,Florida,SEC,24-8,-3,0,0,0,1.0899999999999999,-1.7000000000000028,8,-2.799999999999997,-10,1.7999999999999972,-81,-0.027,46,2.0300000000000002,-23,1.3000000000000114,-32,-0.7999999999999972,-15,3.4099999999999997,-83
2005,1458,1137,Z06,Z14,71,62,2,-8,9,1,Wisconsin,B10,25-9,Bucknell,Pat,23-10,-78,2,-1,0.03832442067736186,14.119999999999997,9.799999999999997,-137,-4.3999999999999915,-30,-0.30000000000000426,10,-0.020999999999999998,31,12.58,-189,7.099999999999994,-200,-5.400000000000006,-185,-1.0099999999999998,25
2005,1112,1329,X03,X02,79,78,3,1,1,1,Arizona,P10,30-7,Oklahoma St.,B12,26-7,7,4,0,0.02293202293202301,-2.8000000000000007,-4.5,6,-1.7000000000000028,-20,2.3999999999999915,-85,0.041999999999999996,-100,-1.4700000000000006,15,-0.20000000000000284,3,1.2999999999999972,30,-1.7000000000000002,30
2005,1228,1454,X01,X12,77,63,3,-11,14,1,Illinois,B10,37-2,Milwaukee,Horz,26-6,-34,11,-4,0.13621794871794868,17.990000000000002,12.200000000000003,-49,-5.800000000000011,-34,-4.700000000000003,190,-0.08600000000000001,157,5.85,-92,2.700000000000003,-87,-3.200000000000003,-102,-7.32,136
2005,1257,1449,W04,W01,93,79,3,3,14,1,Louisville,CUSA,33-5,Washington,P10,29-6,-10,4,-1,0.03984962406015036,3.6000000000000014,-1.7999999999999972,3,-5.400000000000006,-60,-5.6000000000000085,140,-0.015,24,-2.1899999999999995,34,-1.4000000000000057,42,0.7999999999999972,23,-8.76,189
2005,1452,1403,W07,W06,65,60,3,1,5,1,West Virginia,BE,24-11,Texas Tech,B12,22-11,3,2,0,0.01904761904761909,-0.47000000000000064,3.799999999999997,-25,4.299999999999997,52,-5.399999999999999,210,0.045000000000000005,-62,0.21000000000000085,-2,-0.20000000000000284,4,-0.4000000000000057,-16,-3.39,48
2005,1246,1428,Y02,Y06,62,52,3,-4,10,1,Kentucky,SEC,28-6,Utah,MWC,29-6,-11,-1,0,-0.005042016806722782,3.770000000000003,-0.09999999999999432,1,-3.799999999999997,-16,7.499999999999993,-183,0,-1,5.25,-80,2,-58,-3.200000000000003,-107,1.33,-24
2005,1277,1181,Y05,Y01,78,68,3,4,10,1,Michigan St.,B10,26-7,Duke,ACC,27-6,2,-1,1,-0.030303030303030387,-1.7399999999999984,4,-7,5.700000000000003,26,-1.8999999999999915,69,-0.011,27,-3.000000000000001,27,-2.5,39,0.5,7,-4.69,124
2005,1314,1437,Z01,Z05,67,66,3,-4,1,1,North Carolina,ACC,33-4,Villanova,BE,24-8,-6,9,-4,0.14189189189189189,7.7500000000000036,7.799999999999997,-17,0,-1,6.099999999999994,-119,0.065,-150,2.4800000000000004,-15,0.7999999999999972,-14,-1.6000000000000085,-18,5.1499999999999995,-118
2005,1458,1301,Z06,Z10,65,56,3,-4,9,1,Wisconsin,B10,25-9,N.C. State,ACC,21-14,-6,4,-5,0.1352941176470589,1.879999999999999,-3,22,-4.8999999999999915,-36,-0.30000000000000426,9,0.10400000000000001,-224,0.1899999999999995,-2,0.20000000000000284,-4,0,-1,5.09,-131
2005,1228,1112,X01,X03,90,89,4,-2,1,1,Illinois,B10,37-2,Arizona,P10,30-7,-11,7,-5,0.13790713790713782,10.46,5.599999999999994,-7,-4.900000000000006,-26,-4.5,174,-0.034,75,0.040000000000000924,-2,-0.5,10,-0.6000000000000085,-17,-3.02,78
2005,1257,1452,W04,W07,93,85,4,-3,8,1,Louisville,CUSA,33-5,West Virginia,BE,24-11,-31,9,-6,0.18270676691729326,10.780000000000001,4.700000000000003,-17,-6.099999999999994,-68,2.6999999999999957,-111,-0.037000000000000005,48,-2.7200000000000006,39,-2.5,59,0.20000000000000284,8,5.300000000000001,-86
2005,1277,1246,Y05,Y02,94,88,4,3,6,1,Michigan St.,B10,26-7,Kentucky,SEC,28-6,-4,-2,1,-0.035650623885918,1.5700000000000003,6.700000000000003,-23,5.099999999999994,25,-0.19999999999998863,8,-0.045,100,-0.96,12,-0.9000000000000057,21,0,-1,-0.4700000000000002,5
2005,1314,1458,Z01,Z06,88,82,4,-5,6,1,North Carolina,ACC,33-4,Wisconsin,B10,25-9,-16,8,-5,0.156597774244833,11.960000000000004,10.5,-37,-1.5,-6,10.299999999999997,-284,-0.031000000000000003,64,1.4000000000000004,-7,0.20000000000000284,-3,-1.2000000000000028,-11,2.9899999999999998,-58
2005,1228,1257,X01,W04,72,57,5,-3,15,1,Illinois,B10,37-2,Louisville,CUSA,33-5,-2,4,-3,0.0802968960863697,6.899999999999999,3.5,-5,-3.4000000000000057,-16,-2.200000000000003,95,-0.052,112,1.7400000000000002,-29,1.2000000000000028,-36,-0.6000000000000085,-16,2.34,-61
2005,1314,1277,Z01,Y05,87,71,5,-4,16,1,North Carolina,ACC,33-4,Michigan St.,B10,26-7,-4,7,-3,0.10401310401310404,7.100000000000001,2.799999999999997,-4,-4.299999999999997,-23,6.699999999999989,-143,0.024,-59,3.750000000000001,-31,1.7000000000000028,-34,-2,-24,7.4399999999999995,-176
2005,1314,1228,Z01,X01,75,70,6,0,5,1,North Carolina,ACC,33-4,Illinois,B10,37-2,-1,-4,2,-0.05682605682605679,0.09000000000000341,0.20000000000000284,-1,0.10000000000000853,1,9,-242,0.018,-44,3.4800000000000004,-26,1.4000000000000057,-25,-2,-26,3.9499999999999997,-93
2006,1104,1266,X10,X07,90,85,1,3,5,1,Alabama,SEC,18-13,Marquette,BE,20-11,24,-2,2,-0.06451612903225801,-2.879999999999999,0,1,2.8999999999999915,40,-4.699999999999996,182,0.017,-43,0.39000000000000057,-6,-0.8999999999999915,22,-1.3999999999999915,-44,3.31,-87
2006,1130,1334,Y04,Y13,88,76,1,-9,12,1,Boston College,ACC,28-8,Pacific,BW,24-8,-50,4,0,0.02777777777777779,7.779999999999999,8,-59,0.20000000000000284,5,-1.2999999999999972,39,0.014,-36,9.42,-158,4.3999999999999915,-146,-5,-151,-6.23,148
2006,1181,1380,W01,W16,70,54,1,-15,16,1,Duke,ACC,32-4,Southern,SWAC,19-13,-195,13,-9,0.29513888888888884,30.939999999999998,23.200000000000003,-273,-7.799999999999997,-90,5,-156,-0.034,37,18.189999999999998,-296,11.5,-307,-6.700000000000003,-192,-6.260000000000001,32
2006,1196,1375,Y03,Y14,76,50,1,-11,26,1,Florida,SEC,33-6,South Alabama,SB,24-7,-83,9,-1,0.07196029776674939,19,8.800000000000011,-69,-10.200000000000003,-106,1.2000000000000028,-38,-0.067,147,10.86,-183,6.900000000000006,-219,-4,-115,-4.99,74
2006,1203,1423,W08,W09,88,85,1,-1,3,1,George Washington,A10,27-3,UNC Wilmington,CAA,25-8,1,2,-5,0.14242424242424245,-0.09999999999999964,3.0999999999999943,-41,3.1999999999999886,28,8.600000000000001,-258,0.112,-176,-2.8200000000000003,58,-2.5,92,0.4000000000000057,8,-15.12,180
2006,1211,1462,X03,X14,79,75,1,-11,4,1,Gonzaga,WCC,29-4,Xavier,A10,21-11,-21,8,-7,0.22253787878787878,2.91,8.199999999999989,-46,5.299999999999997,88,1,-42,0.101,-219,2.4699999999999998,-33,0.8000000000000114,-44,-1.5999999999999943,-48,11.36,-219
2006,1228,1102,Z04,Z13,78,69,1,-9,9,1,Illinois,B10,26-7,Air Force,MWC,24-7,-31,2,0,0.013685239491691092,8.33,1.2999999999999972,-3,-7,-77,7.399999999999999,-49,-0.018,40,6.199999999999999,-97,3.6000000000000085,-127,-2.6000000000000085,-82,2.1100000000000003,-32
2006,1231,1361,X06,X11,87,83,1,-5,4,1,Indiana,B10,19-12,San Diego St.,MWC,24-9,-18,-5,3,-0.11436950146627567,2.75,-2.799999999999997,29,-5.599999999999994,-81,0.4000000000000057,-12,-0.011,27,7.5,-99,5.099999999999994,-135,-2.5,-80,4.37,-125
2006,1261,1233,W04,W13,80,64,1,-9,16,1,LSU,SEC,27-9,Iona,MAAC,23-8,-54,4,1,0.008064516129032251,10.67,0.09999999999999432,-3,-10.600000000000009,-87,-2.0999999999999943,56,-0.016,41,10.02,-142,2.299999999999997,-51,-7.700000000000003,-241,-2.08,48
2006,1285,1305,Y12,Y05,87,79,1,7,8,1,Montana,BSky,24-7,Nevada,WAC,27-6,50,-3,1,-0.04398826979472148,-6.270000000000001,1.5999999999999943,-18,7.900000000000006,122,0.4000000000000057,-10,0.032,-57,-2.52,54,0,3,2.5,71,-4.6,110
2006,1397,1457,Z02,Z15,63,61,1,-13,2,1,Tennessee,SEC,22-8,Winthrop,BSth,23-8,-56,-1,0,-0.008602150537634468,9.170000000000002,12.199999999999989,-133,3,41,7.099999999999994,-219,0.039,-91,14.73,-245,5.900000000000006,-183,-8.900000000000006,-297,-8.89,148
2006,1401,1393,W12,W05,66,58,1,7,8,1,Texas A&M,B12,22-9,Syracuse,BE,23-12,-19,-1,-3,0.052534562211981606,2.75,-3.299999999999997,43,-6,-57,-5.299999999999997,197,-0.08499999999999999,164,-4.490000000000001,64,-2.700000000000003,66,1.7999999999999972,56,-8.41,80
2006,1417,1125,X02,X15,78,44,1,-13,34,1,UCLA,P10,32-7,Belmont,ASun,20-11,-158,12,-4,0.17535153019023986,24.13,5.6000000000000085,-63,-18.5,-253,-7.499999999999993,256,-0.004,7,16.92,-284,7.700000000000003,-244,-9.300000000000011,-289,-4.369999999999999,74
2006,1449,1429,Z05,Z12,75,61,1,-7,14,1,Washington,P10,26-7,Utah St.,WAC,23-9,-54,3,-2,0.06912878787878785,9.23,1.3999999999999915,-4,-7.8999999999999915,-117,10.699999999999996,-299,-0.019,50,3.62,-49,2.700000000000003,-106,-0.9000000000000057,-24,-5.1499999999999995,91
2006,1454,1328,Y11,Y06,82,74,1,5,8,1,Milwaukee,Horz,22-9,Oklahoma,B12,20-9,17,2,0,0.020022246941045596,-2.130000000000001,-4.700000000000003,50,-2.5,-37,5.300000000000004,-201,-0.032,72,-4.62,68,-0.5999999999999943,21,4.1000000000000085,118,5.5600000000000005,-115
2006,1455,1371,Z07,Z10,86,66,1,-3,20,1,Wichita St.,MVC,26-9,Seton Hall,BE,18-12,-60,8,-3,0.1428571428571429,6.999999999999998,5.299999999999997,-69,-1.7000000000000028,-28,-3.1000000000000014,129,-0.05399999999999999,72,-0.8999999999999995,18,-1.2999999999999972,38,-0.3999999999999915,-14,2.16,-60
2006,1112,1458,Y08,Y09,94,75,1,-1,19,1,Arizona,P10,20-13,Wisconsin,B10,19-12,-16,1,1,-0.006842619745845546,2.290000000000001,0.7000000000000028,-5,-1.5999999999999943,-21,2.5,-93,-0.012999999999999998,37,2.5699999999999994,-27,1.4000000000000057,-28,-1.0999999999999943,-22,8.36,-114
2006,1133,1242,X13,X04,77,73,1,9,4,1,Bradley,MVC,22-11,Kansas,B12,25-8,17,-3,3,-0.09090909090909094,-6.719999999999999,-2.9000000000000057,36,3.799999999999997,9,1.5999999999999943,-38,0.023999999999999997,-58,0.9100000000000001,-18,-0.5999999999999943,11,-1.4000000000000057,-46,-1.11,35
2006,1137,1116,X09,X08,59,55,1,1,4,1,Bucknell,Pat,27-5,Arkansas,SEC,22-10,38,5,-5,0.15625,-5.909999999999998,-6.5,85,-0.7000000000000028,-7,-4.200000000000003,161,0.154,-280,-9.52,156,-5.799999999999997,203,3.8000000000000114,110,11.96,-242
2006,1163,1107,Z01,Z16,72,59,1,-15,13,1,Connecticut,BE,30-4,Albany,AE,21-11,-134,9,-7,0.22610294117647056,22.810000000000002,11.599999999999994,-107,-11.299999999999997,-162,4.900000000000006,-187,0.05,-73,14.63,-247,7.800000000000011,-248,-6.8999999999999915,-229,-3.92,101
2006,1206,1277,Z11,Z06,75,65,1,5,10,1,George Mason,CAA,27-8,Michigan St.,B10,22-12,-5,5,-4,0.12436974789915967,2.1400000000000006,-6.599999999999994,56,-8.799999999999997,-106,-1.6000000000000014,46,0.013000000000000001,-40,-4.78,69,-1.1000000000000085,29,3.700000000000003,98,3.1900000000000004,-87
